alpha,secrecy_rate,sensing_utility,objective
0.0,3.2062588080643546,4.0,1.0
0.05,3.355357833466853,4.0,0.954793368333524
0.1,3.1515817056984172,4.0,0.9090045191591384
0.15000000000000002,2.9120178844246545,4.0,0.8624800766475342
0.2,2.6563107088555853,4.0,0.8151789183363177
0.25,2.5469260989123077,4.0,0.768192329277945
0.30000000000000004,2.5850538938375847,4.0,0.7221576048043221
0.35000000000000003,2.569483715263176,4.0,0.6756948371526317
0.4,2.958212865675254,4.0,0.6338081470362886
0.45,4.397298320939535,4.0,0.6065366926977941
0.5,8.461788818837306,4.0,0.6208826974119616
0.55,11.165853266305959,4.0,0.6254634084705222
0.6000000000000001,12.442534781053984,4.0,0.6133005962466397
0.65,13.735833227203763,4.0,0.6050940456480698
0.7000000000000001,15.213982132391298,4.0,0.6042796426478259
0.75,16.92521309183691,4.0,0.6126831376822195
0.8,18.863716670416608,4.0,0.6311706667523795
0.8500000000000001,20.963041538151316,4.0,0.6591024373551033
0.9,23.052567912419736,4.0,0.6927803177479361
0.9500000000000001,24.80339804576473,4.0,0.7232350898136141
1.0,25.71881490594751,4.0,0.7348232830270718
