episode,sensing
1,42.46486789645851
2,42.51992956009501
3,42.4355859668186
4,42.52320805816826
5,42.36263018834955
6,42.41210149510461
7,42.57995722839639
8,42.54409114182886
9,42.1546024032452
10,41.94850374037109
11,41.98117737203603
12,42.17742893332439
13,42.52446135703878
14,42.59074128371423
15,42.61725348604312
16,39.33013254965605
17,38.95738523996168
18,39.348217745928544
19,39.81052114539435
20,39.87307320079821
21,39.89157877616421
22,39.79526092263063
23,39.747514713080285
24,39.84627770960423
25,41.23041165896831
26,42.181262310253686
27,42.49176488349843
28,42.451613789423234
29,42.44973581695022
30,42.44094896612509
31,42.4322924555259
32,42.376514684679286
33,42.44332714289399
34,42.370196361376244
35,42.10915436863437
36,42.03159052733153
37,41.992969581589605
38,42.011724286946
39,42.07905701015647
40,42.09524039393645
41,41.89988643084514
42,41.9661043414083
43,42.13718107792436
44,42.19969479241568
45,42.25947856910614
46,42.43062447114644
47,42.202297631081485
48,42.20881015701671
49,42.05791754045263
50,42.04904860706416
