episode,sensing
1,40.91153147065252
2,40.91153147065252
3,40.91153147065252
4,40.91153147065252
5,41.183689717271356
6,41.183689717271356
7,40.99844067405274
8,40.99844067405274
9,40.9871847254692
10,40.9871847254692
11,40.97911989155675
12,40.97911989155675
13,40.97025041278514
14,40.97025041278514
15,40.94843171878274
16,40.94843171878274
17,40.90876395760156
18,40.90876395760156
19,40.444693613232715
20,40.444693613232715
21,40.209085484512414
22,40.209085484512414
23,40.38124483047577
24,40.38124483047577
25,40.3835483879657
26,40.3835483879657
27,40.38271954713111
28,40.38271954713111
29,40.38252296540095
30,40.38252296540095
31,40.38204250074377
32,40.38204250074377
33,40.38202549985319
34,40.38202549985319
35,40.38203707659824
36,40.38203707659824
37,40.38563316811271
38,40.38563316811271
39,40.388004070094404
40,40.388004070094404
41,40.38804135125995
42,40.38804135125995
43,40.389735420638395
44,40.389735420638395
45,40.39085075320877
46,40.39085075320877
47,40.39124655396684
48,40.39124655396684
49,40.39069467529862
50,40.39069467529862
51,40.38971313423458
52,40.38971313423458
53,40.38890378409555
54,40.38890378409555
55,40.38897904045201
56,40.38897904045201
57,40.4008720431541
58,40.4008720431541
59,40.38709140653083
60,40.38709140653083
61,40.38786804618781
62,40.38786804618781
63,40.38800496197561
64,40.38800496197561
65,40.38800499955673
66,40.38800499955673
67,40.38800438922103
68,40.38800438922103
69,40.388004048526085
70,40.388004048526085
71,40.38800388668519
72,40.38800388668519
73,40.38800381212289
74,40.38800381212289
75,40.38800377626589
76,40.38800377626589
77,40.38800375917514
78,40.38800375917514
79,40.38800374995954
80,40.38800374995954
81,40.38800374476529
82,40.38800374476529
83,40.38800374174927
84,40.38800374174927
85,40.388003739906154
86,40.388003739906154
87,40.3880037385657
88,40.3880037385657
89,40.38800373772792
90,40.38800373772792
91,40.38800373722525
92,40.38800373722525
93,40.388003736890134
94,40.388003736890134
95,40.38800373655502
96,40.38800373655502
97,40.38800373638746
98,40.38800373638746
99,40.38800373621991
100,40.38800373621991
