episode,avg_crb,avg_pd,avg_reward,uav_1/adv_max,uav_1/adv_mean,uav_1/adv_std,uav_1/approx_kl,uav_1/entropy,uav_1/grad_norm,uav_1/output_bias_norm,uav_1/output_weight_g,uav_1/output_weight_norm,uav_1/output_weight_v_norm,uav_1/policy_loss,uav_1/pre_tanh_max,uav_1/pre_tanh_mean,uav_1/pre_tanh_std,uav_1/reward_mean,uav_1/reward_std,uav_1/value_loss,uav_2/adv_max,uav_2/adv_mean,uav_2/adv_std,uav_2/approx_kl,uav_2/entropy,uav_2/grad_norm,uav_2/output_bias_norm,uav_2/output_weight_g,uav_2/output_weight_norm,uav_2/output_weight_v_norm,uav_2/policy_loss,uav_2/pre_tanh_max,uav_2/pre_tanh_mean,uav_2/pre_tanh_std,uav_2/reward_mean,uav_2/reward_std,uav_2/value_loss
1,0.8003318352246958,0.6950000000000001,0.42945924073295316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.031422494589030625,0.866875,0.7594857083093335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.11015345499911249,0.6056250000000001,0.19065759071119803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,13.08950357644306,0.9121875000000002,0.5503629304307871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.5036202419678961,0.9290624999999999,0.3929000309576297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.04947977808966465,0.8621874999999999,0.7470544333361568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.04797521085425531,0.9106249999999999,0.5826668179138281,2.0207998752593994,9.546056389808655e-08,2.8037500381469727,0.0,2.837822365760803,26.87575168609619,0.0,0.009999999776482582,0.01414213515818119,0.01414213515818119,-9.75094735622406e-08,3.2420237064361572,0.7941996691906492,0.9903983750871732,0.5173368453979492,0.459418386220932,48.066891479492185,1.6462520360946655,-1.2433156371116638e-07,2.5138626098632812,0.0,2.835167932510376,23.054772186279298,0.0,0.009999999776482582,0.014142136089503765,0.014142136089503765,1.2437812983989717e-07,3.244335412979126,0.7810406909941646,0.9657527040217964,0.5185753107070923,0.4312162697315216,39.39361381530762
8,0.0751190514581205,0.8996875000000001,0.7833827203625157,2.175851583480835,-6.705522537231445e-08,2.262632131576538,0.0,2.8381162166595457,21.95625820159912,0.004249779507517815,0.011632170528173447,0.01645042560994625,0.02447008527815342,6.742775440216065e-08,2.648939609527588,0.7036122386343777,0.9235620052914024,0.5581458806991577,0.4547179937362671,31.376340675354005,2.081392765045166,2.4726614356040955e-07,2.9441308975219727,0.0,2.8312735319137574,21.11983165740967,0.004250857979059219,0.012211713008582592,0.01730581931769848,0.023730246350169182,-2.492684870958328e-07,3.5045008659362793,0.7484746541595086,1.0112888837152318,0.5395500659942627,0.47988361120224,34.45178642272949
9,0.2654577521317818,0.9462499999999998,0.2839025736443702,1.577544093132019,-1.685693860054016e-07,2.885336399078369,0.0,2.8405272483825685,20.26155662536621,0.006178945768624544,0.013192657381296158,0.01867091841995716,0.03458157554268837,1.6544945538043976e-07,2.262171506881714,0.9070366424275562,1.0615341968327237,0.5363110899925232,0.46178537607192993,29.680459403991698,1.7601240873336792,-1.0337680578231812e-07,3.1427838802337646,0.0,2.832647776603699,21.743688774108886,0.007318099960684776,0.014646126888692379,0.020774194970726967,0.033255841583013535,1.0391231626272202e-07,2.6180217266082764,0.805358768790029,0.9880838963594075,0.5481694936752319,0.43809738755226135,37.9028938293457
10,0.1294914853677182,0.8825,0.4196247196731989,1.423130989074707,1.5832483768463135e-08,2.8371317386627197,0.0,2.8444788455963135,21.155756378173827,0.008152395486831665,0.014843109995126724,0.020993506535887718,0.04195786267518997,-1.846347004175186e-08,3.217536211013794,0.7753904878627509,0.9534432587859132,0.5098534226417542,0.4530612826347351,30.202968215942384,1.7220001220703125,-1.8905848264694214e-07,2.856365203857422,0.0,2.8363064765930175,16.653299713134764,0.010911254212260246,0.01768343150615692,0.0250717643648386,0.039496760815382004,1.93202868103981e-07,2.937483549118042,0.8285446677240543,1.0453859595141763,0.4967525005340576,0.4546893239021301,25.22295799255371
